name,wiki_url
Bharathiraja,https://en.wikipedia.org/wiki/Bharathiraja
Fabián Bielinsky,https://en.wikipedia.org/wiki/Fabi%C3%A1n_Bielinsky
Kathryn Bigelow,https://en.wikipedia.org/wiki/Kathryn_Bigelow
Tony Bill,https://en.wikipedia.org/wiki/Tony_Bill
Anna Biller,https://en.wikipedia.org/wiki/Anna_Biller
Peter Billingsley,https://en.wikipedia.org/wiki/Peter_Billingsley
Bruce Bilson,https://en.wikipedia.org/wiki/Bruce_Bilson
Brad Bird,https://en.wikipedia.org/wiki/Brad_Bird
Bill Bixby,https://en.wikipedia.org/wiki/Bill_Bixby
Alice Guy-Blaché,https://en.wikipedia.org/wiki/Alice_Guy-Blach%C3%A9
Herbert Blaché,https://en.wikipedia.org/wiki/Herbert_Blach%C3%A9
Nicola Black,https://en.wikipedia.org/wiki/Nicola_Black
Shane Black,https://en.wikipedia.org/wiki/Shane_Black
Alessandro Blasetti,https://en.wikipedia.org/wiki/Alessandro_Blasetti
Bertrand Blier,https://en.wikipedia.org/wiki/Bertrand_Blier
Neill Blomkamp,https://en.wikipedia.org/wiki/Neill_Blomkamp
Don Bluth,https://en.wikipedia.org/wiki/Don_Bluth
Eugeniusz Bodo,https://en.wikipedia.org/wiki/Eugeniusz_Bodo
Carl Boese,https://en.wikipedia.org/wiki/Carl_Boese
Budd Boetticher,https://en.wikipedia.org/wiki/Budd_Boetticher
Paul Bogart,https://en.wikipedia.org/wiki/Paul_Bogart
Peter Bogdanovich,https://en.wikipedia.org/wiki/Peter_Bogdanovich
José Bohr,https://en.wikipedia.org/wiki/Jos%C3%A9_Bohr
Michel Boisrond,https://en.wikipedia.org/wiki/Michel_Boisrond
Patrick Bokanowski,https://en.wikipedia.org/wiki/Patrick_Bokanowski
Richard Boleslawski,https://en.wikipedia.org/wiki/Richard_Boleslawski
Uwe Boll,https://en.wikipedia.org/wiki/Uwe_Boll
Mauro Bolognini,https://en.wikipedia.org/wiki/Mauro_Bolognini
Fyodor Bondarchuk,https://en.wikipedia.org/wiki/Fyodor_Bondarchuk
Sergei Bondarchuk,https://en.wikipedia.org/wiki/Sergei_Bondarchuk
Bong Joon-ho,https://en.wikipedia.org/wiki/Bong_Joon-ho
John Boorman,https://en.wikipedia.org/wiki/John_Boorman
Walerian Borowczyk,https://en.wikipedia.org/wiki/Walerian_Borowczyk
Frank Borzage,https://en.wikipedia.org/wiki/Frank_Borzage
Lucien Bourjeily,https://en.wikipedia.org/wiki/Lucien_Bourjeily
Danny Boyle,https://en.wikipedia.org/wiki/Danny_Boyle
Charles Brabin,https://en.wikipedia.org/wiki/Charles_Brabin
John Brahm,https://en.wikipedia.org/wiki/John_Brahm
Stan Brakhage,https://en.wikipedia.org/wiki/Stan_Brakhage
Kenneth Branagh,https://en.wikipedia.org/wiki/Kenneth_Branagh
Tinto Brass,https://en.wikipedia.org/wiki/Tinto_Brass
Catherine Breillat,https://en.wikipedia.org/wiki/Catherine_Breillat
Herbert Brenon,https://en.wikipedia.org/wiki/Herbert_Brenon
Robert Bresson,https://en.wikipedia.org/wiki/Robert_Bresson
Martin Brest,https://en.wikipedia.org/wiki/Martin_Brest
Vinko Brešan,https://en.wikipedia.org/wiki/Vinko_Bre%C5%A1an
Howard Bretherton,https://en.wikipedia.org/wiki/Howard_Bretherton
Sean Bridgers,https://en.wikipedia.org/wiki/Sean_Bridgers
James Bridges,https://en.wikipedia.org/wiki/James_Bridges
Philippe de Broca,https://en.wikipedia.org/wiki/Philippe_de_Broca
Lino Brocka,https://en.wikipedia.org/wiki/Lino_Brocka
Peter Brook,https://en.wikipedia.org/wiki/Peter_Brook
Albert Brooks,https://en.wikipedia.org/wiki/Albert_Brooks
Mel Brooks,https://en.wikipedia.org/wiki/Mel_Brooks
Richard Brooks,https://en.wikipedia.org/wiki/Richard_Brooks
Nick Broomfield,https://en.wikipedia.org/wiki/Nick_Broomfield
Simon Bross,https://en.wikipedia.org/wiki/Simon_Bross
James Broughton,https://en.wikipedia.org/wiki/James_Broughton
Otto Brower,https://en.wikipedia.org/wiki/Otto_Brower
Clarence Brown,https://en.wikipedia.org/wiki/Clarence_Brown
Harry Joe Brown,https://en.wikipedia.org/wiki/Harry_Joe_Brown
Rowland Brown,https://en.wikipedia.org/wiki/Rowland_Brown
Tod Browning,https://en.wikipedia.org/wiki/Tod_Browning
Adrian Brunel,https://en.wikipedia.org/wiki/Adrian_Brunel
Chris Buck,https://en.wikipedia.org/wiki/Chris_Buck
Detlev Buck,https://en.wikipedia.org/wiki/Detlev_Buck
Tom Buckingham,https://en.wikipedia.org/wiki/Tom_Buckingham
Steve Buscemi,https://en.wikipedia.org/wiki/Steve_Buscemi
Jan Bucquoy,https://en.wikipedia.org/wiki/Jan_Bucquoy
Danny Buday,https://en.wikipedia.org/wiki/Danny_Buday
John Carl Buechler,https://en.wikipedia.org/wiki/John_Carl_Buechler
Luis Buñuel,https://en.wikipedia.org/wiki/Luis_Bu%C3%B1uel
Edward Burns,https://en.wikipedia.org/wiki/Edward_Burns
Tim Burstall,https://en.wikipedia.org/wiki/Tim_Burstall
Tim Burton,https://en.wikipedia.org/wiki/Tim_Burton
Alexander Butler,https://en.wikipedia.org/wiki/Alexander_Butler
Jörg Buttgereit,https://en.wikipedia.org/wiki/J%C3%B6rg_Buttgereit
Edward Buzzell,https://en.wikipedia.org/wiki/Edward_Buzzell
Bobby Razak,https://en.wikipedia.org/wiki/Bobby_Razak
Christy Cabanne,https://en.wikipedia.org/wiki/Christy_Cabanne
Michael Cacoyannis,https://en.wikipedia.org/wiki/Michael_Cacoyannis
Israel Adrián Caetano,https://en.wikipedia.org/wiki/Israel_Adri%C3%A1n_Caetano
Nicolas Cage,https://en.wikipedia.org/wiki/Nicolas_Cage
James Cagney,https://en.wikipedia.org/wiki/James_Cagney
James Cameron,https://en.wikipedia.org/wiki/James_Cameron
Donald Cammell,https://en.wikipedia.org/wiki/Donald_Cammell
Joe Camp,https://en.wikipedia.org/wiki/Joe_Camp
Juan José Campanella,https://en.wikipedia.org/wiki/Juan_Jos%C3%A9_Campanella
Jane Campion,https://en.wikipedia.org/wiki/Jane_Campion
Danny Cannon,https://en.wikipedia.org/wiki/Danny_Cannon
Dyan Cannon,https://en.wikipedia.org/wiki/Dyan_Cannon
Graham Cantwell,https://en.wikipedia.org/wiki/Graham_Cantwell
Albert Capellani,https://en.wikipedia.org/wiki/Albert_Capellani
Frank Capra,https://en.wikipedia.org/wiki/Frank_Capra
Luigi Capuano,https://en.wikipedia.org/wiki/Luigi_Capuano
Leos Carax,https://en.wikipedia.org/wiki/Leos_Carax
Marcel Carné,https://en.wikipedia.org/wiki/Marcel_Carn%C3%A9
Marc Caro,https://en.wikipedia.org/wiki/Marc_Caro
Niki Caro,https://en.wikipedia.org/wiki/Niki_Caro
John Carpenter,https://en.wikipedia.org/wiki/John_Carpenter
Enrique Carreras,https://en.wikipedia.org/wiki/Enrique_Carreras
John Paddy Carstairs,https://en.wikipedia.org/wiki/John_Paddy_Carstairs
John Cassavetes,https://en.wikipedia.org/wiki/John_Cassavetes
Nick Cassavetes,https://en.wikipedia.org/wiki/Nick_Cassavetes
William Castle,https://en.wikipedia.org/wiki/William_Castle
Torre Catalano,https://en.wikipedia.org/wiki/Torre_Catalano
Michael Caton-Jones,https://en.wikipedia.org/wiki/Michael_Caton-Jones
Peter Cattaneo,https://en.wikipedia.org/wiki/Peter_Cattaneo
Alberto Cavalcanti,https://en.wikipedia.org/wiki/Alberto_Cavalcanti
Liliana Cavani,https://en.wikipedia.org/wiki/Liliana_Cavani
André Cayatte,https://en.wikipedia.org/wiki/Andr%C3%A9_Cayatte
Ralph Ceder,https://en.wikipedia.org/wiki/Ralph_Ceder
Jeff Celentano,https://en.wikipedia.org/wiki/Jeff_Celentano
Nuri Bilge Ceylan,https://en.wikipedia.org/wiki/Nuri_Bilge_Ceylan
Claude Chabrol,https://en.wikipedia.org/wiki/Claude_Chabrol
Gurinder Chadha,https://en.wikipedia.org/wiki/Gurinder_Chadha
Don Chaffey,https://en.wikipedia.org/wiki/Don_Chaffey
Aneesh Chaganty,https://en.wikipedia.org/wiki/Aneesh_Chaganty
Youssef Chahine,https://en.wikipedia.org/wiki/Youssef_Chahine
Fruit Chan,https://en.wikipedia.org/wiki/Fruit_Chan
Jackie Chan,https://en.wikipedia.org/wiki/Jackie_Chan
Peter Chan,https://en.wikipedia.org/wiki/Peter_Chan
Charlie Chaplin,https://en.wikipedia.org/wiki/Charlie_Chaplin
Charley Chase,https://en.wikipedia.org/wiki/Charley_Chase
Émile Chautard,https://en.wikipedia.org/wiki/%C3%89mile_Chautard
Damien Chazelle,https://en.wikipedia.org/wiki/Damien_Chazelle
Peter Chelsom,https://en.wikipedia.org/wiki/Peter_Chelsom
Chen Kaige,https://en.wikipedia.org/wiki/Chen_Kaige
Pierre Chenal,https://en.wikipedia.org/wiki/Pierre_Chenal
Abigail Child,https://en.wikipedia.org/wiki/Abigail_Child
Ching Siu-Tung,https://en.wikipedia.org/wiki/Ching_Siu-Tung
Samson Chiu,https://en.wikipedia.org/wiki/Samson_Chiu
Tadeusz Chmielewski,https://en.wikipedia.org/wiki/Tadeusz_Chmielewski
Lisa Cholodenko,https://en.wikipedia.org/wiki/Lisa_Cholodenko
Yash Chopra,https://en.wikipedia.org/wiki/Yash_Chopra
Chor Yuen,https://en.wikipedia.org/wiki/Chor_Yuen
Stephen Chow,https://en.wikipedia.org/wiki/Stephen_Chow
Benjamin Christensen,https://en.wikipedia.org/wiki/Benjamin_Christensen
Christian-Jaque,https://en.wikipedia.org/wiki/Christian-Jaque
Rich Christiano,https://en.wikipedia.org/wiki/Rich_Christiano
Grigori Chukhrai,https://en.wikipedia.org/wiki/Grigori_Chukhrai
Peter Chung,https://en.wikipedia.org/wiki/Peter_Chung
Věra Chytilová,https://en.wikipedia.org/wiki/V%C4%9Bra_Chytilov%C3%A1
Michael Cimino,https://en.wikipedia.org/wiki/Michael_Cimino
Claudio Cipelletti,https://en.wikipedia.org/wiki/Claudio_Cipelletti
Souleymane Cissé,https://en.wikipedia.org/wiki/Souleymane_Ciss%C3%A9
René Clair,https://en.wikipedia.org/wiki/Ren%C3%A9_Clair
Larry Clamage,https://en.wikipedia.org/wiki/Larry_Clamage
Bob Clark,https://en.wikipedia.org/wiki/Bob_Clark
Larry Clark,https://en.wikipedia.org/wiki/Larry_Clark
Shirley Clarke,https://en.wikipedia.org/wiki/Shirley_Clarke
Jack Clayton,https://en.wikipedia.org/wiki/Jack_Clayton
René Clément,https://en.wikipedia.org/wiki/Ren%C3%A9_Cl%C3%A9ment
Ron Clements,https://en.wikipedia.org/wiki/Ron_Clements
Elmer Clifton,https://en.wikipedia.org/wiki/Elmer_Clifton
George Clooney,https://en.wikipedia.org/wiki/George_Clooney
Robert Clouse,https://en.wikipedia.org/wiki/Robert_Clouse
Henri-Georges Clouzot,https://en.wikipedia.org/wiki/Henri-Georges_Clouzot
Enrico Cocozza,https://en.wikipedia.org/wiki/Enrico_Cocozza
Jean Cocteau,https://en.wikipedia.org/wiki/Jean_Cocteau
Coen Brothers,https://en.wikipedia.org/wiki/Coen_Brothers
Larry Cohen,https://en.wikipedia.org/wiki/Larry_Cohen
Rob Cohen,https://en.wikipedia.org/wiki/Rob_Cohen
Keri Collins,https://en.wikipedia.org/wiki/Keri_Collins
Mary Collins,https://en.wikipedia.org/wiki/Mary_Collins
Luigi Comencini,https://en.wikipedia.org/wiki/Luigi_Comencini
Bill Condon,https://en.wikipedia.org/wiki/Bill_Condon
Bruce Conner,https://en.wikipedia.org/wiki/Bruce_Conner
Fielder Cook,https://en.wikipedia.org/wiki/Fielder_Cook
Francis Ford Coppola,https://en.wikipedia.org/wiki/Francis_Ford_Coppola
Sofia Coppola,https://en.wikipedia.org/wiki/Sofia_Coppola
Frank Coraci,https://en.wikipedia.org/wiki/Frank_Coraci
Roger Corman,https://en.wikipedia.org/wiki/Roger_Corman
Alain Corneau,https://en.wikipedia.org/wiki/Alain_Corneau
Lloyd Corrigan,https://en.wikipedia.org/wiki/Lloyd_Corrigan
Raiya Corsiglia,https://en.wikipedia.org/wiki/Raiya_Corsiglia
Don Coscarelli,https://en.wikipedia.org/wiki/Don_Coscarelli
George Pan Cosmatos,https://en.wikipedia.org/wiki/George_Pan_Cosmatos
Pedro Costa,https://en.wikipedia.org/wiki/Pedro_Costa
Costa-Gavras,https://en.wikipedia.org/wiki/Costa-Gavras
Kevin Costner,https://en.wikipedia.org/wiki/Kevin_Costner
Manny Coto,https://en.wikipedia.org/wiki/Manny_Coto
Alex Cox,https://en.wikipedia.org/wiki/Alex_Cox
William James Craft,https://en.wikipedia.org/wiki/William_James_Craft
Wes Craven,https://en.wikipedia.org/wiki/Wes_Craven
Charles Crichton,https://en.wikipedia.org/wiki/Charles_Crichton
Michael Crichton,https://en.wikipedia.org/wiki/Michael_Crichton
Jon Russell Cring,https://en.wikipedia.org/wiki/Jon_Russell_Cring
Donald Crisp,https://en.wikipedia.org/wiki/Donald_Crisp
Donald Crombie,https://en.wikipedia.org/wiki/Donald_Crombie
David Cronenberg,https://en.wikipedia.org/wiki/David_Cronenberg
Alan Crosland,https://en.wikipedia.org/wiki/Alan_Crosland
Matthew Crouch,https://en.wikipedia.org/wiki/Matthew_Crouch
Cameron Crowe,https://en.wikipedia.org/wiki/Cameron_Crowe
James Cruze,https://en.wikipedia.org/wiki/James_Cruze
Alfonso Cuarón,https://en.wikipedia.org/wiki/Alfonso_Cuar%C3%B3n
George Cukor,https://en.wikipedia.org/wiki/George_Cukor
Irving Cummings,https://en.wikipedia.org/wiki/Irving_Cummings
Richard Curtis,https://en.wikipedia.org/wiki/Richard_Curtis
Michael Curtiz,https://en.wikipedia.org/wiki/Michael_Curtiz
Paul Czinner,https://en.wikipedia.org/wiki/Paul_Czinner
Debarun Pal,https://en.wikipedia.org/wiki/Debarun_Pal
Diminas Dagogo,https://en.wikipedia.org/wiki/Diminas_Dagogo
John Dahl,https://en.wikipedia.org/wiki/John_Dahl
Georgi Daneliya,https://en.wikipedia.org/wiki/Georgi_Daneliya
Frank Daniel,https://en.wikipedia.org/wiki/Frank_Daniel
Lee Daniels,https://en.wikipedia.org/wiki/Lee_Daniels
Vladimir Danilevich,https://en.wikipedia.org/wiki/Vladimir_Danilevich
Joe Dante,https://en.wikipedia.org/wiki/Joe_Dante
Frank Darabont,https://en.wikipedia.org/wiki/Frank_Darabont
Jules Dassin,https://en.wikipedia.org/wiki/Jules_Dassin
Hayato Date,https://en.wikipedia.org/wiki/Hayato_Date
Byambasuren Davaa,https://en.wikipedia.org/wiki/Byambasuren_Davaa
Delmer Daves,https://en.wikipedia.org/wiki/Delmer_Daves
Alki David,https://en.wikipedia.org/wiki/Alki_David
Terence Davies,https://en.wikipedia.org/wiki/Terence_Davies
Ossie Davis,https://en.wikipedia.org/wiki/Ossie_Davis
Tamra Davis,https://en.wikipedia.org/wiki/Tamra_Davis
Drew Daywalt,https://en.wikipedia.org/wiki/Drew_Daywalt
Basil Dean,https://en.wikipedia.org/wiki/Basil_Dean
Basil Dearden,https://en.wikipedia.org/wiki/Basil_Dearden
Tiffanie DeBartolo,https://en.wikipedia.org/wiki/Tiffanie_DeBartolo
Jan de Bont,https://en.wikipedia.org/wiki/Jan_de_Bont
Fred de Cordova,https://en.wikipedia.org/wiki/Fred_de_Cordova
Albert de Courville,https://en.wikipedia.org/wiki/Albert_de_Courville
Russell DeGrazier,https://en.wikipedia.org/wiki/Russell_DeGrazier
Rolf de Heer,https://en.wikipedia.org/wiki/Rolf_de_Heer
Alex De La Iglesia,https://en.wikipedia.org/wiki/Alex_De_La_Iglesia
Jean Delannoy,https://en.wikipedia.org/wiki/Jean_Delannoy
Bruce Dellis,https://en.wikipedia.org/wiki/Bruce_Dellis
Greg DeLiso,https://en.wikipedia.org/wiki/Greg_DeLiso
Hampton Del Ruth,https://en.wikipedia.org/wiki/Hampton_Del_Ruth
Roy Del Ruth,https://en.wikipedia.org/wiki/Roy_Del_Ruth
